data_carga,ANO_Convenio,NR_CONVENIO,SIT_CONVENIO,COD_MUNIC_IBGE,MUNIC_PROPONENTE,UF_PROPONENTE,PROGRAMA,ACAO,MAX_VL_GLOBAL_CONV,SOMA_VALOR_AGREGADO,PERC_EXECUCAO,VALOR_A_EXECUTAR
2026-06-01 06:52:13,2018,865368,Em execução,1600303,MACAPÁ,AP,,,5175306.12,2834367.04,0.5476713790990203,2340939.08
2026-06-01 06:52:13,2018,876183,Em execução,1100809,CANDEIAS DO JAMARI,RO,Programa Calha Norte,1211,1383351.75,1136298.97,0.8214100065294311,247052.78000000003
2026-06-01 06:52:13,2018,880702,Em execução,1400605,SÃO LUIZ,RR,,,5522465.0,3011763.43,0.5453657795929897,2510701.57
2026-06-01 06:52:13,2019,882687,Prestação de Contas em Análise,1600212,CUTIAS,AP,Programa Calha Norte,1211,736000.0,0.0,0.0,736000.0
2026-06-01 06:52:13,2019,882719,Em execução,1600303,MACAPÁ,AP,Programa Calha Norte,1211,981973.0,614413.51,0.625692875466026,367559.49
2026-06-01 06:52:13,2019,882730,Em execução,1200401,RIO BRANCO,AC,,,1701158.0,306576.35,0.18021627032879955,1394581.65
2026-06-01 06:52:13,2019,882743,Prestação de Contas em Análise,1600709,TARTARUGALZINHO,AP,,,2208000.0,1922262.1,0.8705897192028986,285737.8999999999
2026-06-01 06:52:13,2019,882764,Prestação de Contas em Análise,1100098,ESPIGÃO D'OESTE,RO,Programa Calha Norte,1211,817160.0,730742.3,0.8942462920358315,86417.69999999995
2026-06-01 06:52:13,2019,882781,Em execução,1200500,SENA MADUREIRA,AC,,,997200.0,299647.54,0.3004889089450461,697552.46
2026-06-01 06:52:13,2019,882795,Em execução,1100205,PORTO VELHO,RO,,,3481289.0,3100318.52,0.8905662586472999,380970.48
2026-06-01 06:52:13,2019,882809,Em execução,1100304,VILHENA,RO,Programa Calha Norte,1211,3209303.0,1150906.0,0.3586155623199181,2058397.0
2026-06-01 06:52:13,2019,882831,Em execução,1100122,JI-PARANÁ,RO,Programa Calha Norte,1211,3350756.16,1748898.98,0.5219415846720401,1601857.1800000002
2026-06-01 06:52:13,2019,882832,Prestação de Contas em Análise,1300706,BOCA DO ACRE,AM,Programa Calha Norte,1211,1000000.0,992443.39,0.99244339,7556.609999999986
2026-06-01 06:52:13,2019,882856,Prestação de Contas em Análise,1200450,SENADOR GUIOMARD,AC,Programa Calha Norte,1211,795000.0,556660.08,0.700201358490566,238339.92000000004
2026-06-01 06:52:13,2019,882874,Em execução,1400175,CANTÁ,RR,Programa Calha Norte,1211,1198500.0,0.0,0.0,1198500.0
